edition_key,description,notes,first_sentence
OL40005138M,,,The way ass whole is misspelled in red spray paint across the back door of Bib's makes me think of my mother.
OL59829704M,,Source title: Twisted Love: English Edition by LYX,
OL59067928M,"Il a un cœur de glace… mais pour elle, il brûlerait le monde. Alex Volkov est un diable doté d’un visage d’ange. Poussé par une tragédie qui l’a hanté pendant la majeure partie de sa vie, sa quête impitoyable de succès et de vengeance laisse peu de place aux affaires de cœur.

Mais quand il est contraint de s’occuper de la sœur de son meilleur ami, il commence à sentir quelque chose dans sa poitrine :

Une fissure.

Une fissure. Un feu.

Un feu qui pourrait mettre fin au monde dans lequel il a toujours évolué.

 

Ava Chen est un esprit libre piégé par les cauchemars d’une enfance dont elle ne se souvient pas. Mais malgré son passé brisé, elle n’a jamais cessé de voir la beauté dans le monde… y compris le cœur sous le visage froid d’un homme qu’elle ne devrait pas désirer :

Le meilleur ami de son frère.

Son voisin.

Son sauveur et sa perte.

Quand leur histoire commence à prendre forme, elle révèle des secrets qui pourraient les détruire tous les deux… et tout ce qui leur est cher.",,
OL32234215M,,"Source title: The Cruel Prince (The Folk of the Air, 1)",
OL28153628M,,Source title: The Cruel Prince (The Folk of the Air (1)),
OL40208522M,,Source title: Volver a empezar (It Starts with Us),
OL37050436M,"Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas’s side of the story and shares what comes next in this long-anticipated sequel to the “glorious and touching” (USA TODAY) #1 New York Times bestseller It Ends with Us

Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the “gripping, pulse-pounding” (Sarah Pekkanen, author of Perfect Neighbors) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas’s past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that “no one delivers an emotional read like Colleen Hoover” (Anna Todd, New York Times bestselling author).",,
OL47391457M,,Source title: Hopeless (edición limitada a precio especial): Tocando el cielo,
OL32734086M,,Source title: The Blue Castle (Japanese Edition),
OL19746209M,,1,
OL15388701M,,King Collection copy with author's autographed note pasted on front endpaper,
OL19889860M,,Series from dust jacket.,
OL22098412M,,6,
OL28363959M,,Source title: The Marriage Possession (Romance Large),
OL47620785M,"Since the day Serenity got hitched to a stranger on their blind date, she had assumed married life would be ordinary but respectful and mundane. It never crossed her mind that her new husband would be clingy like a piece of gum stuck to the bottom of a shoe. To her utmost surprise, he could make her troubles disappear whenever she was in a fix. Despite her questioning, her husband would always pass it off as luck. Until one day, she watched an interview with a local billionaire known for fussing over his wife. That was when she noticed the uncanny resemblance of the billionaire to her husband. The wife whom he was showering attention on turned out to be her!",,
OL23247589M,,"""A Bantam Starfire book.""

RL 7, IL age 12 and up.",
OL10738160M,,Harlequin Presents,
OL14979995M,,Originally published: 1975.,
OL61188557M,"Felicia sabia que haveria obstáculos a superar quando concordou em ir sozinha ao Kuwait visitar os parentes de seu noivo, Faisal. Ela era uma garota inglesa comum, enquanto ele era um árabe de uma família imensamente rica. Mas havia um problema em particular para o qual Felicia não estava preparada: o tio de Faisal, o sheik Raschid Al Hamid al Sabah. Não era apenas a errônea convicção de Raschid de que ela era uma inescrupulosa caçadora de fortunas que a alarmava. Era também a lenta e relutante percepção de que podia ter se comprometido com o homem errado...",,
OL9752646M,"Could East and west love side by side?

They were in love--why shouldn't they be married? But both Felicia and Faisal knew there would be problems. Ordinary English girls just didn't marry wealthy Arabs.

On a cloud of love and optimism, Felicia flew to Kuwait to meet Faisal's family, to gain their trust, love and approval....

But Faisal's dictatorial uncle, Raschid, had no intention of allowing Felicia to marry his nephew, and his methods of driving her away were dishonorable and grossly unfair. Though Felicia resented his prejudiced attitude, she had to admit the man himself fascinated her.

Hero: Faisal al Hamid al Sabah
Heroine: Felicia Gordon",,
OL60303596M,"תקציר:
לואן אשלי היא סופרת בתחילת דרכה על סף קריסה כלכלית. יום אחד פונה אליה ג´רמי קרופורד, שאשתו וריטי - סופרת פופולרית – מרותקת למיטה, ומציע לה להשלים את כתיבתה של סדרת ספרים רבת-מכר בשם אשתו. ללואן אין ברירה אלא להסכים. היא מגיעה לבית משפחת קרופורד בכוונה להישאר שם לילה אחד או שניים – די זמן למיין את אי־הסדר בחדר העבודה של וריטי ולאסוף את כל החומר הדרוש לה לכתיבת הספר הבא בסדרה. אלא שהימים חולפים בחברתו של ג´רמי, והיא פחות ממהרת לעזוב. במהלך שהותה שם לואן מגלה כתב יד חבוי, אוטוביוגרפיה המכילה הודאות מצמררות שווריטי תיכננה לקחת איתה לקברה, ובהן גם האמת מאחורי האירועים שהפכו על פיהם את חייהם של בני הזוג. אמת שאם תתגלה לג´רמי, תמוטט עוד יותר את האב המתאבל. לואן מחליטה לשמור בסוד את קיומו של כתב היד ולהניח לג´רמי להמשיך להאמין שווריטי היא רק קורבן תמים ביש מזל של הנסיבות. אבל ככל שרגשותיה לאב ולבעל המסור מעמיקים, היא מתחילה לתהות אם זה נבון מבחינתה להמשיך לשמור את הסוד הזה. אחרי הכול, אם ג´רמי יקרא את האוטוביוגרפיה של אשתו, הוא לא יוכל להמשיך לאהוב אותה. -- מאתר צומת ספרים",,
OL48120574M,"Adictiva, impredecible y altamente perturbadora. Suspense de alto voltaje. Colleen Hoover. Un fenómeno imparable. Por la autora de Romper el círculo.

Lowen Ashleigh recibe un encargo que le cambiará la vida: Jeremy, el flamante marido de Verity Crawford, una de las autoras más importantes del momento, la contrata para terminar la serie de libros en la que trabajaba su mujer antes de sufrir un grave accidente que la ha dejado en coma. Cuando Lowen se instala en la mansión del matrimonio para poder trabajar con los materiales de Verity, descubre una autobiografía escondida en la que Verity hace confesiones escalofriantes. Lowen decide ocultarle el manuscrito a Jeremy, pero a medida que sus sentimientos por él co­mienzan a intensificarse, se da cuenta que ella podría beneficiarse si Jeremy leyera las palabras de su mujer.",,
OL57485262M,"Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.",,
OL27587656M,"Verity Crawford, sławna autorka thrillerów, zostaje sparaliżowana wskutek tragicznego wypadku. Jej mąż zatrudnia pisarkę Lowen Ashleigh, by dokończyła bestsellerową serię książek chorej żony.

Podczas przygotowań do pracy w posiadłości Crawfordów Lowen w stosie notatek znajduje niepublikowany dotąd materiał. Tekst, który miał na zawsze pozostać tajemnicą, okazuje się wstrząsającą spowiedzią Verity.

Odkrywając sekrety autorki, Lowen coraz bardziej pogrąża się w mroku i niebezpiecznie zbliża się do jej męża Jeremy’ego. Aż w pewnym momencie staje się częścią życia Crowfordów, jeszcze bardziej niepokojącego niż thrillery Verity...

Szokująca opowieść o małżeństwie, obsesji i manipulacji.",,
OL31986851M,,,"The rolling tide of summer grass had engulfed the small meadow in a sweet smelling flood of lambs’ tails, coltsfoot, feverfew, the drifting pollen from them like pale yellow dust on Linden’s bare arms as she lay full length among them."
OL17507026M,,"Originally published, 1986.",
OL21366179M,,"Originally published, London , Mills & Boon, 1981.",
OL22321605M,,Large print ed.,
OL39801379M,"Die Jungautorin Lowen Ashleigh bekommt ein Angebot, das sie unmöglich ablehnen kann: Sie soll die gefeierten Psychothriller von Starautorin Verity Crawford zu Ende schreiben. Diese ist seit einem Autounfall, der unmittelbar auf denTod ihrer beiden Töchter folgte, nicht mehr ansprechbar und ein dauerhafter Pflegefall.

Lowen akzeptiert – auch, weil sie sich zu Veritys Ehemann Jeremy hingezogen fühlt. Während ihrer Recherchen im Haus der Crawfords findet sie Veritys Tagebuch und darin offenbart sich Lowen Schreckliches ...",,
OL39220275M,"Lowen Asleigh, yaşadığı finansal krizin ardından evini kaybetmek üzere olan bir yazardır. Büyük bir umutsuzluk içinde olduğu sırada beklenmedik bir teklif alır. Geçirdiği kaza sebebiyle kitap yazamayacak durumdaki ünlü yazar Verity Crawford'ın çoksatan serisini tamamlayacak ve karşılığında Verity'nin eşi Jeremy'den hayatını tamamen değiştirecek yüklü miktarda bir ödeme alacaktır.

Lowen kendini kısa süre içinde Verity'nin gözlerden uzak evinde bulur. Göl kıyısındaki bu muhteşem malikanede onun seriye dair tuttuğu notlarını okuyacak ve serinin devamını yazacaktır. Ne var ki Lowen bilinci yerinde olmayan Verity'nin notları arasında onun acımasız bir dürüstlükle yazdığı otobiyografisini de bulur. Gerilim türünde bir başyapıt sayılabilecek bu otobiyografide iki kızını da kaybeden Verity kızlarının gerçekte nasıl öldüğünü anlatmıştır. Lowen okudukça dehşete kapıldığı bu taslağı, Verity'nin her şeyden habersiz eşine göstermekle yok etmek arasında bir seçim yapmak zorundadır.

Colleen Hoover içgüdülerimize, bilinçaltımıza ve gerçeğe meydan okuyor.",Source title: Verity: Gercegin Diger Kiyisi,
OL38406842M,"Un autor, que escribe sobre un autor que lee sobre otro autor, la sensación constante de que alguien te está mintiendo, pero ¿quién es?.
Lowen Ashleigh, autora al borde de la bancarrota, recibe un encargo que le cambiará la vida: Jeremy, el flamante marido de Verity Crawford, una de las autoras más importantes del momento, la contrata para terminar la serie de libros en la que trabajaba su mujer antes de sufrir un grave accidente que la ha dejado en coma. Lowen se instala en la mansión del matrimonio para poder trabajar en las notas en las que trabajaba Verity, con la esperanza de encontrar material suficiente para empezar con su encargo, pero lo que no esperaba descubrir en la caótica oficina es una autobiografía de la propia Verity, escondida para que nunca salga a la luz. Un autor, que escribe sobre un autor que lee sobre otro autor, la sensación constante de que alguien te está mintiendo, pero ¿quién es?.",,
OL28288027M,,Source title: Verity. La sombra de un engaño (Planeta Internacional) (Spanish Edition),
OL31986854M,,,"The rolling tide of summer grass had engulfed the small meadow in a sweet smelling flood of lambs’ tails, coltsfoot, feverfew, the drifting pollen from them like pale yellow dust on Linden’s bare arms as she lay full length among them."
OL24382038M,,,"The rolling tide of summer grass had engulfed the small meadow in a sweet smelling flood of lambs’ tails, coltsfoot, feverfew, the drifting pollen from them like pale yellow dust on Linden’s bare arms as she lay full length among them."
OL10239116M,,Large Print Harlequin,
OL10807085M,,Limited Edition,
OL2726049M,,"""Atlantic romance""--Cover.",
OL47314659M,,Source title: Verity (Chinese Edition),
OL21220705M,,,"The rolling tide of summer grass had engulfed the small meadow in a sweet smelling flood of lambs' tails, coltsfoot, feverfew, the drifting pollen from them like pale yellow dust on Linden's bare arms as she lay full length among them."
OL27350901M,"Ostracized or incarcerated her whole life, seventeen-year-old Juliette is freed on the condition that she use her horrific abilities in support of The Reestablishment, a postapocalyptic dictatorship, but Adam, the only person ever to show her affection, offers hope of a better future.",,
OL28286358M,,Source title: Shatter Me (Turtleback School & Library Binding Edition),
OL61638992M,"**Ella es lo que él ha pasado toda su vida cazando.**

**Él es todo lo que ella ha pasado la vida fingiendo ser.**

Solo lo extraordinario pertenece al reino de Ilya: los excepcionales, los poderosos, los élites.

Aquellos que nacieron vulgares son solo eso: vulgares. Y cuando el rey decreta que todos los vulgares serán eliminados para preservar su sociedad de élite, carecer de poder se vuelve un crimen, convirtiendo a Paedyn Gray en una criminal por destino y en una ladrona por necesidad. Se hace pasar por psíquica en la ciudad real, pasando desapercibida para seguir viva y fuera de peligro.

Cuando Paedyn inesperadamente salva a uno de los príncipes de Ilya, se ve arrojada a las Pruebas de la Purga. La brutal competición existe para exhibir los poderes de los élites, algo de lo que Paedyn carece. Si la Purga y sus rivales no la matan, lo hará el príncipe cuando descubra lo que ella es en realidad...",,
OL32216971M,,"Source title: Shatter Me: The Shatter Me Series, book 1 (Shatter Me Series, 1)",
OL27781701M,,"Source title: Shatter Me: The Shatter Me Series, book 1 (Shatter Me Series, 1)",
OL49297283M,"Only the extraordinary belong in the kingdom of Ilya—the exceptional, the empowered, the Elites.

The powers these Elites have possessed for decades were graciously gifted to them by the Plague, though not all were fortunate enough to both survive the sickness and reap the reward. Those born Ordinary are just that—ordinary. And when the king decreed that all Ordinaries be banished in order to preserve his Elite society, lacking an ability suddenly became a crime—making Paedyn Gray a felon by fate and a thief by necessity.

Surviving in the slums as an Ordinary is no simple task, and Paedyn knows this better than most. Having been trained by her father to be overly observant since she was a child, Paedyn poses as a Psychic in the crowded city, blending in with the Elites as best she can in order to stay alive and out of trouble. Easier said than done.

When Paeydn unsuspectingly saves one of Ilyas princes, she finds herself thrown into the Purging Trials. The brutal competition exists to showcase the Elites’ powers—the very thing Paedyn lacks. If the Trials and the opponents within them don’t kill her, the prince she’s fighting feelings for certainly will if he discovers what she is—completely Ordinary.",,
OL17476629M,,,"Leonie looked up as her friend and associate came excitedly into the room, waving a letter about under her nose."
OL20121410M,,,"Leonie looked up as her friend and associate came excitedly into the room, waving a letter about under her nose."
OL61366359M,"Ik ben een monster - Ik heb een gave

'Je kunt me niet aanraken,'
fluister ik.
Ik lieg,
hij kan me aanraken,
maar dat zal ik nooit vertellen.
Raak me alsjeblieft aan,
is wat ik wil zeggen.
Er gebeuren dingen als mensen me aanraken.
Vreemde dingen.
Slechte dingen.
Dode dingen.

Niemand weet waarom de aanraking van Juliette dodelijk is, maar Het Herstel heeft grootse plannen met haar. Ze willen haar gebruiken als wapen in hun strijd voor een alleenheerschappij.
Maar Juliette heeft haar eigen plannen.
Ze vindt voor het eerst in haar leven de kracht om terug te vechten, en om aan een toekomst te denken met de jongen van wie ze dacht dat ze hem voor altijd kwijt was.",,
OL42512520M,,Source title: Shatter Me: Shatter Me series 1,
OL24917781M,"Ostracized or incarcerated her whole life, seventeen-year-old Juliette is freed on the condition that she use her horrific abilities in support of The Reestablishment, a post-apocalyptic dictatorship, but Adam, the only person ever to show her affection, offers hope of a better future.",,
OL59414384M,,Source title: Powerless: Édition reliée,
OL10738150M,,,"LEONIE looked up as her friend and associate came excitedly into the room, waving a letter about under her nose."
OL35651243M,"Lise son sınıf öğrencisi olan Sky çapkınlığı kendi şanıyla yarışan Dean Holderla tanışır. İlk karşılaştıkları andan itibaren Holder onu hem korkutur hem de cezbeder. Ona dair bir şeyler, Skyın derinlere gömmek için çok uğraştığı sıkıntılı geçmişine ait anılarını ateşler. Sky ondan uzak durmaya kararlı olsa da Holderın kararlı tutumu ve esrarengiz gülümsemesi savunmasını yerle bir edip aralarındaki bağın güçlenmesini sağlar. Ama gizemli Holderın sakladığı sırlar vardır, bu sırlar ortaya çıkar çıkmaz Sky sonsuza kadar değişir ve güven duygusu gerçekler karşısında yenilgiye uğrar.

Sky ve Holder ancak çıplak gerçeklerle cesurca yüzleşerek yaralarını iyileştirebilecek ve sınır tanımadan yaşayıp birbirlerini sevebileceklerdir.

Umutsuz nefesinizi kesecek, merakınızı uyandıracak size ilk aşkınızı hatırlatacak bir roman.",,
OL32419698M,"Sky, 17 ans, vit avec sa mère adoptive Karen. Elle débute sa dernière année de lycée dans un nouvel établissement où elle ne connaît quasiment personne. Peu importe, de toute façon, Sky ne ressent aucune émotion depuis son enfance. Alors, quand elle croise Holder, elle est surprise de l'effet qu'il produit sur elle. D'autant que ce garçon croit la connaître, alors qu'elle n'a aucun souvenir de lui...",Traduction de : Hopeless.,
OL31129806M,"Sky, a senior in high school, meets Dean Holder, a guy with a promiscuous reputation that rivals her own. From their very first encounter, he terrifies and captivates her. Something about him sparks memories of her deeply troubled past, a time she's tried so hard to bury. Though Sky is determined to stay far away from him, his unwavering pursuit and enigmatic smile break down her defenses and the intensity of the bond between them grows. But the mysterious Holder has been keeping secrets of his own, and once they are revealed, Sky is changed forever and her ability to trust may be a casualty of the truth.--From back cover.",,
OL20947352M,,"Originally published: New York : Harcourt Brace Jovanovich, 1973.

870  Lexile.

Accelerated Reader AR UG 5.8 14.0 60420.",
OL17892075M,"A tale of true love and high adventure, pirates, princesses, giants, miracles, fencing, and a frightening assortment of wild beasts.",Includes reader's guide.,
OL52236850M,"Unidos por la sangre.

Tentados por el deseo.

Liberados por el destino.

Bryce Quinlan tenía la vida perfecta, trabajando cada día y saliendo cada noche, hasta que un demonio asesinó a sus amigos y la dejó vacía, herida y sola. Cuando el acusado está entre rejas, pero los crímenes continúan, Bryce hará lo que sea para vengar sus muertes.

Hunt Athalar es un ángel caído, esclavo de los arcángeles a los que una vez intentó destronar. Sus brutales habilidades sirven ahora para un solo propósito: acabar con los enemigos de su dueño. Pero entonces Bryce le ofrece un trato irresistible: si la ayuda a encontrar al demonio asesino, su libertad estará al alcance de su mano.

Mientras Bryce y Hunt investigan en las entrañas de Ciudad Medialuna, descubrendos cosas: un poder oscuro que amenaza todo lo que desean proteger y una atracción feroz que podría liberarlos a ambos.

Con personajes inolvidables, un romance apasionado y una trama llena de suspense, esta novela de la autora bestseller Sarah J. Maas te sumergirá en una historia sobre el dolor de la pérdida, el precio de la libertad y el poder del amor.","Edición tapa dura que incluye contenido extra, cantos pintados, mapa y firma digital de la autora.",
OL35361326M,"Sevgiyle, her şey mümkündür.

Kanla bağlandı.
Arzuyla baştan çıkarıldı.
Kaderle serbest bırakıldı.

Bryce’ın yaşamı kusursuzdu, bütün gün çalışır, gece de partilerdi, ta ki bir iblis en yakın arkadaşını öldürene kadar. Suçlu parmaklıklar ardında olmasına rağmen cinayetler devam edince Bryce kendini büyük bir soruşturmanın merkezinde buldu.

Hunt ise düşmüş bir melekti. Bir zamanlar devirmeye çalıştığı Başmelekler tarafından köleleştirildi. Artık acımasız becerilerini tek bir amaç için kullanıyordu, patronunun düşmanlarına suikast yapmak… Ancak bir gün, Bryce’ın davasını çözerse özgürlüğüne bir adım atabileceğini fark etti.

Bryce ve Hunt, Hilal Şehir’in derinliklerine inerken, her şeyi tehdit eden karanlık gücü ve alev alev yanan tutkuyu keşfederler.",,
OL30342532M,"Con personajes inolvidables, un romance apasionante y un suspenso adictivo, esta nueva e inventiva serie de fantasía por la autora #1 del New York Times Sarah J. Maas explora el dolor de la pérdida, el precio de la libertad... y el poder del amor.

Bryce Quinlan tenía una vida perfecta, trabajando todo el día y divirtiéndose toda la noche, hasta que un demonio asesina a sus mejores amigos, dejándola herida y sola. Cuando el culpable está detrás de las rejas pero los crímenes continúan, Bryce se encuentra a sí misma en el corazón de la investigación... y hará lo que sea necesario para vengar la muerte de sus amigos.

Hunt Athalar es un importante Ángel Caído que ahora se encuentra esclavizado por los Arcángeles a los que alguna vez trató de derrocar. Sus habilidades brutales y su fuerza descomunal han sido moldeadas con un solo propósito: asesinar a los enemigos de su amo sin hacer ni una sola pregunta. Cuando un demonio causa pánico en la ciudad, le ofrecen un trato irresistible: ayudar a Bryce a encontrar al asesino, y su libertad estará al alcance de su mano.

Mientras Bryce y Hunt exploran las profundidades de Ciudad Medialuna, descubren un poder oscuro que amenaza a todo lo que aman, y encuentran en el otro una pasión deslumbrante #una que los podría liberar, si lo permitieran. Con personajes inolvidables, un romance apasionante y un suspenso adictivo, esta nueva e inventiva serie de fantasía por la autora #1 del New York Times Sarah J. Maas explora el dolor de la pérdida, el precio de la libertad... y el poder del amor.",,
OL22380110M,,"Originally published, Mills & Boon, 1986.",
OL32037490M,,"Source title: Dark Lover (Black Dagger Brotherhood, Book 1)",
OL32037489M,,Source title: Dark Lover (The Black Dagger Brotherhood),
OL32037492M,,Source title: Dark Lover (The Black Dagger Brotherhood Series),
OL27549830M,,Source title: Dark Lover: The First Novel of the Black Dagger Brotherhood,
OL11235259M,,Linford Romance Library,
OL3704385M,,"""Includes a new introduction""--Cover.
Includes reader's guide.",
OL35618229M,"Unidos por la sangre.
Tentados por el deseo.
Liberados por el destino.

Llega la nueva saga de Sarah J. Maas...

Bryce Quinlan tenía la vida perfecta, trabajando cada día y saliendo cada noche, hasta que un demonio asesinó a sus amigos y la dejó vacía, herida y sola. Cuando el acusado está entre rejas, pero los crímenes continúan, Bryce hará lo que sea para vengar sus muertes.

Hunt Athalar es un ángel caído, esclavo de los arcángeles a los que una vez intentó destronar. Sus brutales habilidades sirven ahora para un solo propósito: acabar con los enemigos de su dueño. Pero entonces Bryce le ofrece un trato irresistible: si la ayuda a encontrar al demonio asesino, su libertad estará al alcance de su mano.

Mientras Bryce y Hunt investigan en las entrañas de Ciudad Medialuna, descubren dos cosas: un poder oscuro que amenaza todo lo que desean proteger# y una atracción feroz que podría liberarlos a ambos.

Con personajes inolvidables, un romance apasionado y una trama llena de suspense, la nueva novela de la autora bestseller Sarah J. Maas te sumergirá en una historia sobre el dolor de la pérdida, el precio de la libertad y el poder del amor.",Source title: Casa de tierra y sangre (Ciudad Medialuna 1),
OL27925074M,"Köti a vér. Kísérti a vágy.
Szabadjára ereszti a sors.

Bryce Quinlan nappal kemény munkával, éjszakánként pedig bulizással töltött élete egészen addig tökéletes volt, amíg egy démon meg nem gyilkolta a legjobb barátait, magára hagyva őt a veszteségével és a fájdalmával. A tettes rács mögött ül ugyan, a gyilkosságok mégis folytatódnak, és Bryce hirtelen egy nyomozás kellős közepén találja magát. Bármire kész, hogy megbosszulja a barátai halálát.

Hunt Athalar, a hírhedt bukott angyal most kényszerből azokat az arkangyalokat szolgálja, akiket egykor le akart taszítani trónjukról. Brutális képességeit és elképesztő erejét egyetlen ügy szolgálatába állították – meg kell gyilkolnia a főnöke ellenségeit, vitának helye nincs. Amikor démon dúlja fel a városukat, ellenállhatatlan ajánlatot kap: ha segít Bryce-nak megtalálni a gyilkost, karnyújtásnyira kerülhet a szabadsága. Miközben Bryce és Hunt Crescent City legsötétebb részein nyomozva rájön, hogy egy gonosz erő minden egyes, a szívüknek kedves személyt és dolgot halálos veszéllyel fenyeget, arra is rádöbbennek, hogy perzselő szenvedély lakozik a másikban, ami mindkettejüket felszabadíthatja – már ha hagyják.",,
OL27925078M,"The first book in Sarah J. Maas's #1 bestselling Crescent City series.

Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths.

Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.

As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it.

With unforgettable characters, sizzling romance, and page-turning suspense, this richly inventive new fantasy series by #1 bestselling author Sarah J. Maas delves into the heartache of loss, the price of freedom-and the power of love.
Source: [bloomsbury.com](https://www.bloomsbury.com/us/house-of-earth-and-blood-9781635574050/)",,
OL56884344M,"Los sueños son deseos del corazón; las pesadillas, mi obsesión.
Erika
Cuando lo tengo cerca tiemblo. De miedo y deseo.

Michael Crist, el hermano mayor de mi exnovio, es como una de esas películas que, aunque den miedo, no puedes dejar de ver. Guapo, fuerte e intimidante, lo he observado durante años, deseando estar más cerca para comprobar si lo que se dice de él es verdad. Es la estrella del equipo de basquetbol de su universidad, jamás había reparado en mí y apenas me había mirado… hasta ahora. Tiene algo en mente, lo noto, casi puedo saborearlo pero, sabiendo todo lo que sé, ¿realmente quiero averiguar qué tiene planeado?

Michael
Quiero vengarme. Casi tanto como poseerla.

Su nombre es Erika Fane, pero todos la llaman Rika. Podría decirse que creció en mi casa, siempre ha estado cerca. Mira a otro lado cuando entro en una habitación y se queda quieta cuando estoy cerca. Puedo sentir la tensión que desprende, sus ganas de más; no tengo su cuerpo pero sé que he atrapado su mente. Y ahora, la oportunidad de vengarme por lo que pasó hace unos años es demasiado buena para ser verdad. He sido paciente. He esperado el momento. Hasta la última de sus pesadillas se hará realidad.

Cuando la pasión y el peligro se mezclan, todo puede ocurrir.",,
OL21626275M,,Translation of: Hidden heart.,
OL32037491M,,Source title: Dark Lover (Black Dagger Brotherhood Series),
OL9522109M,,,"Darius looked around the club, taking in the teeming, half-naked bodies on the dance floor."
OL39332831M,"Dos jóvenes heridos y desorientados aprenderán que, en ocasiones, descubrir la verdad resulta más doloroso que creer las mentiras y que solo el amor puede salvarnos.

A sus diecisiete años, la vida de Sky se ve sacudida por la irrupción de Dean Holder, un chico más conflictivo que ella si cabe, y que es capaz de aterrorizarla y cautivarla a partes iguales con una sola palabra. Pese a que sospecha que la relación solo puede traerle problemas, Sky es incapaz de mantenerse alejada de ese intrigante y atractivo muchacho, conocedor de un secreto que cambiará para siempre la vida de la chica.

Tensión, drama, deseo y amor se mezclan con maestría en esta historia repleta de giros y revelaciones que está a punto de dar el salto a la gran pantalla. Un amor apasionado entre dos jóvenes marcados por un pasado oscuro y turbulento. Sin lugar a dudas, uno de los máximos exponentes del pujante género New Adult.",,
OL20161132M,"""A Del Rey book."" The most beautiful girl in the world marries the handsomest prince in the world.","""A Del Rey book.""

""The ""good parts"" version abridged, by William Goldman.""",
OL22184538M,,"""A Del Rey book.""",
